<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13930505,410.67,416,404,407.73,1693293
13930506,405.68,416,403,409.26,956929
13930511,408.24,415,390,399.92,917712
13930512,394.04,399,388,390.97,591277
13930513,393.65,401,391,394.29,759373
13930514,387.64,390,381,385.72,1861782
13930515,383.8,391,377,385.47,633762
13930518,389.05,394,384,390.2,440276
13930519,393.65,394,375,380.86,720320
13930520,383.93,391,384,389.69,614910
13930521,386.36,388,383,385.85,532108
13930522,377.92,389,378,383.55,750986
13930525,383.8,385,381,382.91,363052
13930526,377.41,384,377,383.29,816046
13930527,387.64,388,379,383.03,408460
13930528,383.8,389,377,383.67,1038461
13930529,382.65,393,383,388.02,646524
13930601,390.07,390,381,384.19,893202
13930602,383.8,384,377,378.94,498780
13930603,377.41,381,376,377.92,252455
13930604,372.67,378,373,376.64,841084
13930605,373.57,374,366,370.11,1464527
13930608,359.75,373,360,365.76,808190
13930609,364.61,370,360,365.25,1253658
13930610,368.45,368,358,360.65,491380
13930611,365.38,365,356,360.01,830828
13930612,358.22,362,353,355.91,1019318
13930615,357.96,374,358,372.67,5698636
13930616,367.17,377,358,368.19,965162
13930617,372.93,377,358,368.45,1326358
13930618,362.18,371,359,370.24,18631361
13930619,359.62,363,353,357.45,1775414
13930622,356.94,358,340,346.19,808497
13930623,347.85,348,334,338.77,731846
13930624,335.19,345,335,341.71,872022
13930625,336.59,337,331,334.29,1267691
13930626,334.29,339,326,328.28,1481366
13930629,328.28,336,328,331.73,443653
13930630,335.19,337,326,331.86,1612728
13930631,332.63,333,326,327.9,1337600
13930701,332.63,333,327,328.54,523091
13930702,332.5,339,329,332.88,1336909
13930705,333.91,334,323,326.36,426299
13930706,325.08,333,324,330.33,816674
13930707,330.33,347,330,344.27,4913274
13930708,350.03,359,340,349.39,1666105
13930709,349.13,349,339,342.61,563062
13930712,347.98,348,342,344.27,584815
13930714,342.86,344,336,340.69,515367
13930715,341.33,343,328,331.35,2307571
13930716,327.64,333,328,329.56,953693
13930719,332.37,336,328,333.01,1151846
13930720,336.59,340,333,334.16,839144
13930722,332.76,338,333,336.47,944428
13930723,335.32,335,333,334.04,990838
13930726,333.14,337,333,334.55,941541
13930727,333.91,351,334,349,2984628
13930728,366.15,366,357,366.28,8145118
13930729,369.73,381,366,372.42,2923366
13930730,364.61,365,354,358.86,2545431
13930803,350.67,361,347,354.51,1098318
13930804,348.49,357,348,353.99,888425
13930805,354.38,370,354,363.33,1240012
13930806,357.19,365,348,352.71,977634
13930807,347.98,361,346,357.32,1160817
13930810,358.22,375,358,373.06,6277216
13930811,377.79,392,366,386.75,6854596
13930814,383.93,394,384,389.18,2377927
13930817,394.8,395,371,377.79,3530290
13930818,372.29,375,370,372.42,857160
13930819,372.8,385,373,381.37,2188228
13930820,374.85,382,371,375.74,1434153
13930821,371.78,380,369,371.9,1199336
13930824,371.01,371,353,358.09,1573216
13930825,356.68,365,355,358.09,1917483
13930826,360.52,361,352,356.42,1669957
13930827,350.67,358,340,342.74,2401408
13930828,340.56,351,339,341.46,1203644
13930901,343.89,344,333,336.21,2493453
13930902,339.03,348,336,340.3,3082602
13930903,346.57,355,343,348.88,3477641
13930904,331.48,341,331,332.37,1895956
13930905,326.36,339,326,333.65,1633648
13930908,336.47,340,320,329.81,2101165
13930909,325.21,332,313,317.66,1716581
13930910,319.71,322,306,315.87,870905
13930911,318.3,320,302,306.02,1583658
13930912,304.48,310,300,303.59,1736601
13930915,305.25,313,294,300.65,1554474
13930916,296.81,301,286,289.9,2400668
13930917,291.69,300,285,292.84,3573814
13930918,300.65,301,292,295.78,1291641
13931003,280.05,280,262,285.42,1369816
13931006,268.92,274,260,264.18,4786829
13931007,264.95,274,265,269.43,2173189
13931008,276.21,276,265,268.53,1343346
13931009,264.18,265,258,261.24,1165062
13931010,257.66,258,251,253.82,873780
13931013,253.82,262,249,254.33,694600
13931014,253.57,254,244,246.91,1162847
13931015,243.07,243,240,241.41,1163813
13931016,240.52,241,233,236.55,1199475
13931017,229.77,234,226,229.13,966870
13931020,225.16,226,218,218.64,1255766
13931021,217.49,217,208,210.58,1857296
13931022,215.19,221,215,220.94,1828545
13931023,225.04,225,210,214.03,3206579
13931024,212.37,214,205,207.64,1950658
13931027,208.79,218,209,217.74,3529934
13931028,223.37,223,209,215.7,1061961
13931029,213.14,216,205,208.66,882593
13931030,198.3,205,198,198.81,4082816
13931101,197.02,197,189,190.88,1109504
13931104,191.9,196,186,191.26,654378
13931105,192.03,200,188,193.44,830489
13931106,192.67,193,189,191.01,550697
13931107,192.54,200,193,198.43,848920
13931108,202.14,208,202,207.89,4119644
13931111,212.24,218,212,218.13,1050907
13931112,229,229,225,227.98,4689055
13931113,231.43,238,219,226.83,1393423
13931114,219.15,230,219,224.14,1019741
13931115,226.57,235,227,232.58,2185615
13931118,227.72,244,225,241.16,2759414
13931119,250.37,250,231,238.73,2639706
13931120,233.86,237,227,228.49,813369
13931121,226.06,226,217,219.66,1491316
13931125,219.41,230,219,223.63,557584
13931126,222.48,222,215,217.62,848693
13931127,218.77,222,213,217.1,594537
13931128,217.49,217,209,213.27,1266725
13931129,214.29,215,205,208.02,1081632
13931202,205.97,211,202,204.82,2484264
13931203,199.58,201,195,196.25,7005763
13931224,187.42,195,187,188.83,4022911
13931225,193.18,198,190,194.84,4381661
13931226,198.43,199,193,196.38,1244995
13931227,194.59,206,195,205.33,2185557
13940105,209.68,216,209,214.55,1909399
13940108,216.21,222,209,216.59,1417958
13940109,222.61,225,217,220.56,2603886
13940110,211.73,222,210,211.73,4163531
13940111,206.61,214,205,208.4,762314
13940115,218.77,219,219,218.77,23916
13940116,229.64,230,230,229.64,352317
13940117,239.24,239,219,226.83,5721574
13940118,216.34,226,216,218.13,2179957
13940119,213.52,225,214,218.9,1235714
13940122,217.62,218,208,210.2,1584166
13940123,207.38,207,200,201.37,1583743
13940124,202.14,207,195,202.9,1938501
13940125,208.53,210,203,204.57,1185828
13940126,207.25,207,198,202.01,1538593
13940129,196.38,212,196,208.02,5065925
13940130,218.38,218,218,218.38,700128
13940131,229.26,229,225,229.13,26105323
13940201,230.28,237,220,226.57,4265863
13940202,222.48,225,217,220.69,3721396
13940205,223.88,232,224,231.43,17938261
13940206,239.24,243,235,242.69,15905379
13940207,244.99,252,233,244.99,11038697
13940208,244.35,256,241,247.55,5277101
13940209,248.32,249,237,242.95,2994101
13940213,245.25,245,231,233.35,3277948
13940214,229.64,234,222,222.09,3369366
13940215,213.14,224,211,215.44,3384297
13940216,211.09,226,211,222.09,1778305
13940219,233.1,233,217,226.57,3835827
13940220,221.33,222,215,217.62,2513906
13940221,216.21,225,215,221.71,1502053
13940222,224.78,227,220,224.01,1172820
13940223,220.05,226,218,220.43,1190367
13940227,223.88,224,210,212.75,1419694
13940228,212.88,222,213,218.26,955829
13940229,218.77,223,215,218.38,1007216
13940230,217.49,222,216,219.41,1051483
13940302,217.49,230,216,228.49,6786463
13940303,237.96,240,233,238.73,7691292
13940318,244.87,255,244,249.47,21791052
13940319,255.87,261,243,252.8,9266735
13940320,246.53,252,240,244.48,4194321
13940323,252.03,255,247,251.77,3952862
13940324,248.32,253,241,247.04,2807684
13940325,244.23,247,237,242.82,1646439
13940326,239.36,255,239,251.13,4970161
13940327,255.74,264,253,261.37,13550573
13940330,264.82,272,260,264.95,4935219
13940331,263.54,271,256,264.95,3395374
13940401,265.46,278,264,277.11,10503635
13940402,287.85,291,288,290.67,24869331
13940403,292.84,303,288,292.84,15503655
13940406,293.61,306,292,298.98,11890770
13940407,290.28,294,284,285.29,3724313
13940408,275.06,292,271,279.66,12011697
13940409,291.69,294,287,292.2,9906027
13940410,295.53,302,290,296.94,10364169
13940413,303.84,309,301,305.63,11072497
13940414,306.02,306,290,293.61,13204486
13940415,289.52,294,280,285.42,12262456
13940416,285.29,294,285,289.26,11136774
13940420,275.06,281,275,275.95,14040354
13940421,278.77,284,270,275.06,11489511
13940422,283.76,288,276,281.2,9761509
13940423,281.46,288,268,277.36,11788837
13940424,281.2,281,266,270.2,5301680
13940505,252.16,257,243,250.62,4287087
13940506,249.47,258,243,250.5,5123982
13940507,258.43,261,256,259.07,12210098
13940510,262.27,267,256,261.63,3031582
13940511,256.12,258,250,253.44,4417441
13940512,254.59,256,244,248.58,3592543
13940513,245.89,258,243,252.03,6545052
13940514,257.02,261,252,256.51,4377094
13940517,269.3,269,269,269.3,653041
13940518,282.73,283,280,282.73,73042681
13940519,284.01,287,278,282.48,15512508
13940521,277.75,281,276,277.75,6777234
13940524,276.47,276,264,268.41,7450180
13940525,271.86,279,268,270.71,3591744
13940526,274.67,275,265,268.41,2419099
